06 45 09.2499,-16 42 47.315,-0.80,0.009
06 23 57.0906,-52 41 44.585,-0.62,0.164
14 15 40.3474,19 11 14.172,-0.05,1.239
14 39 40.8985,-60 50 06.529,-0.01,0.71
18 36 56.1860,38 46 58.775,0.03,-0.001
05 16 41.2956,45 59 56.505,0.08,0.795
05 14 32.2712,-08 12 05.901,0.18,-0.03
07 39 18.5381,05 13 39.028,0.4,0.432
01 37 42.7517,-57 14 11.976,0.45,-0.158
05 55 10.2892,07 24 25.331,0.45,1.5
14 03 49.4446,-60 22 22.722,0.61,-0.231
19 50 46.6821,08 52 02.586,0.76,0.221
12 26 35.9414,-63 05 56.601,0.77,-0.243
04 35 55.2005,16 30 35.142,0.87,1.538
13 25 11.6046,-11 09 40.482,0.98,-0.235
16 29 24.4675,-26 25 55.006,1.06,1.865
07 45 19.3638,28 01 34.717,1.16,0.991
22 57 38.8256,-29 37 18.613,1.17,0.145
12 47 43.3189,-59 41 19.437,1.25,-0.238
20 41 25.9134,45 16 49.203,1.25,0.092
14 39 39.3908,-60 50 22.097,1.35,0.9
10 08 22.4594,11 58 01.902,1.36,-0.087
06 58 37.5467,-28 58 19.522,1.5,-0.211
07 34 36.0046,31 53 19.091,1.58,0.034
12 31 09.9293,-57 06 45.249,1.59,1.6
17 33 36.5265,-37 06 13.494,1.62,-0.231
05 25 07.8682,06 20 59.044,1.64,-0.224
05 26 17.4979,28 36 28.344,1.65,-0.13
09 13 12.2408,-69 43 02.901,1.67,0.07
05 36 12.8126,-01 12 06.902,1.69,-0.184
22 08 13.8764,-46 57 38.217,1.73,-0.07
05 40 45.5248,-01 56 33.282,1.74,-0.199
08 09 31.9553,-47 20 11.802,1.75,-0.145
12 54 01.6330,55 57 35.435,1.76,-0.022
03 24 19.3485,49 51 40.474,1.79,0.481
18 24 10.3463,-34 23 03.533,1.79,-0.031
11 03 43.8369,61 45 04.028,1.81,1.061
07 08 23.4860,-26 23 35.548,1.83,0.671
13 47 32.5461,49 18 47.890,1.85,-0.099
17 37 19.1258,-42 59 52.158,1.86,0.406
08 22 30.8647,-59 30 34.338,1.86,1.196
05 59 31.7694,44 56 50.766,1.9,0.077
16 48 39.8658,-69 01 39.486,1.91,1.447
06 37 42.7023,16 23 57.893,1.93,0.001
08 44 42.1973,-54 42 30.845,1.93,0.043
20 25 38.8496,-56 44 05.571,1.94,-0.118
02 31 47.0753,89 15 50.897,1.97,0.636
06 22 41.9874,-17 57 21.300,1.98,-0.24
09 27 35.2518,-08 39 31.260,1.99,1.44
02 07 10.2858,23 27 45.999,2.01,1.151
10 19 58.1617,19 50 30.697,2.01,1.128
00 43 35.2283,-17 59 12.063,2.04,1.019
18 55 15.9167,-26 17 47.739,2.05,-0.134
14 06 41.3247,-36 22 07.305,2.06,1.011
05 47 45.3879,-09 40 10.567,2.07,-0.168
14 50 42.3954,74 09 19.713,2.07,1.465
01 09 43.7976,35 37 14.990,2.07,1.576
22 42 39.9349,-46 53 04.437,2.07,1.61
00 08 23.1680,29 05 26.981,2.07,-0.038
17 34 56.0048,12 33 38.073,2.08,0.155
03 08 10.1297,40 57 20.344,2.09,-0.003
02 03 53.9191,42 19 47.454,2.1,1.37
11 49 03.8783,14 34 20.413,2.14,0.09
00 56 42.5011,60 43 00.299,2.15,-0.046
12 41 31.2050,-48 57 35.588,2.2,-0.023
09 17 05.4284,-59 16 30.940,2.21,0.189
08 03 35.0701,-40 00 11.478,2.21,-0.269
15 34 41.1895,26 42 53.677,2.22,0.032
09 07 59.7771,-43 25 57.447,2.23,1.665
13 23 55.4198,54 55 31.495,2.23,0.057
20 22 13.7000,40 15 24.053,2.23,0.673
17 56 36.3779,51 29 20.224,2.24,1.521
00 40 30.3872,56 32 14.673,2.24,1.17
05 32 00.3997,-00 17 56.736,2.25,-0.175
00 09 10.0897,59 09 00.785,2.28,0.38
13 39 53.2727,-53 27 58.906,2.29,-0.171
16 50 10.2450,-34 17 33.395,2.29,1.144
16 00 20.0117,-22 37 17.833,2.29,-0.117
14 41 55.7738,-47 23 17.309,2.3,-0.154
14 35 30.4516,-42 09 27.884,2.33,-0.157
11 01 50.3908,56 22 56.441,2.34,0.033
14 44 59.2509,27 04 27.026,2.35,0.966
21 44 11.1403,09 52 30.028,2.38,1.52
17 42 29.2798,-39 01 47.715,2.39,-0.171
00 26 16.8674,-42 18 18.439,2.4,1.083
11 53 49.7413,53 41 41.039,2.41,0.044
17 10 22.6624,-15 43 30.531,2.43,0.059
23 03 46.3334,28 04 56.837,2.44,1.655
21 18 34.5816,62 35 07.639,2.45,0.257
07 24 05.7050,-29 18 11.231,2.45,-0.083
09 22 06.8292,-55 00 38.503,2.47,-0.141
20 46 12.4322,33 58 10.032,2.48,1.021
23 04 45.6168,15 12 19.324,2.49,-0.002
16 37 09.5300,-10 34 01.746,2.54,0.038
03 02 16.7791,04 05 23.731,2.54,1.63
13 55 32.4349,-47 17 17.759,2.55,-0.176
11 14 06.4121,20 31 26.522,2.56,0.128
16 05 26.2349,-19 48 19.414,2.56,-0.065
12 08 21.5436,-50 43 20.676,2.58,-0.128
05 32 43.8139,-17 49 20.252,2.58,0.211
12 15 48.4678,-17 32 31.141,2.58,-0.107
19 02 36.7234,-29 52 48.411,2.6,0.062
15 17 00.4718,-09 22 58.321,2.61,-0.071
15 44 15.9958,06 25 31.871,2.63,1.167
01 54 38.3491,20 48 29.878,2.64,0.165
05 39 38.9399,-34 04 26.578,2.65,-0.12
05 59 43.2382,37 12 45.951,2.65,-0.083
12 34 23.2341,-23 23 47.843,2.65,0.893
01 25 48.6030,60 14 07.452,2.66,0.16
13 54 41.1162,18 23 54.915,2.68,0.58
14 58 31.9541,-43 08 01.921,2.68,-0.184
12 37 11.0837,-69 08 07.921,2.69,-0.176
10 46 46.1221,-49 25 12.451,2.69,0.901
04 56 59.6162,33 09 58.087,2.69,1.49
17 30 45.8388,-37 17 44.665,2.7,-0.179
07 17 08.5642,-37 05 50.953,2.71,1.616
19 46 15.5702,10 36 47.767,2.72,1.507
18 20 59.6216,-29 49 40.941,2.72,1.38
16 23 59.5069,61 30 50.671,2.73,0.91
16 14 20.7662,-03 41 38.312,2.73,1.584
12 41 40.0021,-01 26 58.280,2.74,0.368
